Dia,Estimado,Verificado,Desvio,Nível,Volume útil,Afluência,Defluência,Vertida,Transferida
2021-05-18,34.06,41.31,21.29,427.08,56.96,194.0,215.0,0.0,0.0
2021-05-19,34.06,38.58,13.27,427.08,56.96,206.0,206.0,0.0,0.0
2021-05-20,34.06,33.97,-0.26,427.11,59.97,168.0,182.0,0.0,0.0
2021-05-21,34.06,35.33,3.73,427.13,61.99,203.0,189.0,0.0,0.0
2021-05-22,29.38,29.42,0.14,427.21,70.1,211.0,155.0,0.0,0.0
2021-05-23,23.12,23.51,1.69,427.2,69.08,152.0,124.0,0.0,0.0
2021-05-24,33.75,31.09,-7.88,427.22,71.12,143.0,164.0,0.0,0.0
2021-05-25,33.75,34.68,2.76,427.21,70.1,161.0,182.0,0.0,0.0
2021-05-26,33.75,33.36,-1.16,427.2,69.08,170.0,177.0,0.0,0.0
2021-05-27,34.58,35.7,3.24,427.2,69.08,162.0,190.0,0.0,0.0
2021-05-28,38.75,37.62,-2.92,427.22,71.12,174.0,195.0,0.0,0.0
2021-05-29,32.92,33.17,0.76,427.23,72.13,178.0,171.0,0.0,0.0
2021-05-30,31.67,26.42,-16.58,427.24,73.15,144.0,137.0,0.0,0.0
2021-05-31,33.75,29.57,-12.39,427.31,80.32,182.0,154.0,0.0,0.0
2021-06-01,33.33,41.83,25.5,427.24,73.15,167.0,217.0,0.0,0.0
2021-06-02,41.67,42.05,0.91,427.23,72.13,98.0,219.0,0.0,0.0
2021-06-03,31.83,32.04,0.66,427.22,71.12,154.0,161.0,0.0,0.0
2021-06-04,41.67,42.55,2.11,427.14,63.0,164.0,220.0,0.0,0.0
2021-06-05,33.33,31.67,-4.98,427.12,60.98,151.0,165.0,0.0,0.0
2021-06-06,21.38,21.81,2.01,427.19,68.07,165.0,116.0,0.0,0.0
2021-06-07,33.0,34.52,4.61,427.24,73.15,217.0,182.0,0.0,0.0
2021-06-08,36.25,36.48,0.63,427.26,75.2,198.0,198.0,0.0,0.0
2021-06-09,36.25,37.35,3.03,427.24,73.15,174.0,195.0,0.0,0.0
2021-06-10,36.25,40.94,12.94,427.25,74.17,182.0,217.0,0.0,0.0
2021-06-11,41.04,40.56,-1.17,427.17,66.04,148.0,219.0,0.0,0.0
2021-06-12,38.96,39.4,1.13,427.18,67.05,212.0,205.0,0.0,0.0
2021-06-13,30.83,32.81,6.42,427.21,70.1,184.0,163.0,0.0,0.0
2021-06-14,32.08,23.34,-27.24,427.2,69.08,145.0,124.0,0.0,0.0
2021-06-15,32.08,21.88,-31.8,427.2,69.08,103.0,117.0,0.0,0.0
2021-06-16,32.08,32.83,2.34,427.2,69.08,173.0,173.0,0.0,0.0
2021-06-17,32.08,32.63,1.71,427.2,69.08,158.0,172.0,0.0,0.0
2021-06-18,32.5,32.61,0.34,427.11,59.97,157.0,171.0,0.0,0.0
2021-06-19,22.58,22.88,1.33,427.11,59.97,121.0,121.0,0.0,0.0
2021-06-20,22.58,22.02,-2.48,427.1,58.97,110.0,117.0,0.0,0.0
2021-06-21,31.5,33.66,6.86,427.09,57.96,110.0,187.0,0.0,0.0
2021-06-22,31.5,32.3,2.54,427.1,58.97,178.0,171.0,0.0,0.0
2021-06-23,31.5,31.97,1.49,427.09,57.96,162.0,176.0,0.0,0.0
2021-06-24,27.0,27.66,2.44,427.01,49.95,107.0,149.0,0.0,0.0
2021-06-25,23.06,23.6,2.34,427.07,55.95,139.0,125.0,0.0,0.0
2021-06-26,23.06,23.46,1.73,427.07,55.95,125.0,125.0,0.0,0.0
2021-06-27,23.06,23.67,2.65,427.08,56.96,133.0,126.0,0.0,0.0
2021-06-28,23.06,23.48,1.82,427.09,57.96,166.0,124.0,0.0,0.0
2021-06-29,23.06,23.78,3.12,427.15,64.01,133.0,126.0,0.0,0.0
2021-06-30,23.06,23.6,2.34,427.19,68.07,154.0,126.0,0.0,0.0
2021-07-01,24.75,25.16,1.66,427.16,65.02,113.0,134.0,0.0,0.0
2021-07-02,24.75,25.05,1.21,427.12,60.98,106.0,134.0,0.0,0.0
2021-07-03,22.12,22.47,1.58,427.1,58.97,105.0,119.0,0.0,0.0
2021-07-04,18.0,18.71,3.94,427.1,58.97,99.0,99.0,0.0,0.0
2021-07-05,18.0,18.5,2.78,427.11,59.97,106.0,99.0,0.0,0.0
2021-07-06,22.12,22.46,1.54,427.1,58.97,112.0,119.0,0.0,0.0
2021-07-07,22.12,22.55,1.94,427.1,58.97,105.0,119.0,0.0,0.0
2021-07-08,22.12,22.72,2.71,427.08,56.96,126.0,119.0,0.0,0.0
2021-07-09,22.12,22.67,2.49,427.09,57.96,98.0,119.0,0.0,0.0
2021-07-10,21.67,20.46,-5.58,427.07,55.95,95.0,109.0,0.0,0.0
2021-07-11,21.67,18.81,-13.2,427.06,54.95,101.0,108.0,0.0,0.0
